	name_loc
2	Bane
4	Crystal Maiden
12	Puck
16	Storm Spirit
20	Windranger
21	Zeus
23	Lina
24	Lich
25	Lion
26	Shadow Shaman
29	Witch Doctor
31	Enigma
32	Tinker
34	Necrophos
35	Warlock
37	Queen of Pain
41	Death Prophet
43	Pugna
48	Dazzle
50	Leshrac
51	Nature's Prophet
53	Dark Seer
56	Enchantress
62	Jakiro
63	Batrider
64	Chen
67	Ancient Apparition
72	Invoker
73	Silencer
74	Outworld Destroyer
77	Shadow Demon
82	Ogre Magi
84	Rubick
85	Disruptor
88	Keeper of the Light
90	Visage
99	Skywrath Mage
107	Oracle
108	Techies
109	Winter Wyvern
114	Dark Willow
115	Grimstroke
117	Void Spirit
