	name_loc
1	Axe
6	Earthshaker
13	Pudge
15	Sand King
17	Sven
18	Tiny
22	Kunkka
27	Slardar
28	Tidehunter
36	Beastmaster
40	Wraith King
47	Dragon Knight
49	Clockwerk
52	Lifestealer
55	Omniknight
57	Huskar
58	Night Stalker
66	Doom
69	Spirit Breaker
71	Alchemist
75	Lycan
76	Brewmaster
79	Chaos Knight
81	Treant Protector
83	Undying
89	Io
94	Centaur Warrunner
95	Magnus
96	Timbersaw
97	Bristleback
98	Tusk
100	Abaddon
101	Elder Titan
102	Legion Commander
104	Earth Spirit
106	Phoenix
111	Underlord
116	Mars
118	Snapfire
120	Dawnbreaker
121	Marci
122	Primal Beast
